player,squad,position,age,skill,percent_match
Robert Lewandowski,Bayern Munich,FW,30,Overall,100.0
Duván Zapata,Atalanta,FW,28,Overall,92.511
Anthony Martial,Manchester Utd,FW,23,Overall,91.154
Adrien Hunou,Rennes,"FW,MF",25,Overall,91.128
Bas Dost,Eint Frankfurt,FW,30,Overall,91.035
Sargis Adamyan,Hoffenheim,"FW,MF",26,Overall,90.934
Pierre-Emerick Aubameyang,Arsenal,FW,30,Overall,90.817
Jhon Córdoba,Köln,FW,26,Overall,90.213
Niclas Füllkrug,Werder Bremen,FW,26,Overall,90.059
Sadio Mané,Liverpool,FW,27,Overall,89.794
Carlos Fernández,Granada,"FW,MF",23,Overall,89.698
Vedad Ibišević,Hertha BSC,FW,34,Overall,89.352
Wissam Ben Yedder,Monaco,FW,28,Overall,88.322
Harry Kane,Tottenham,FW,26,Overall,88.275
Andrej Kramarić,Hoffenheim,"FW,MF",28,Overall,87.985
Christian Kouamé,Genoa,FW,21,Overall,86.692
Timo Werner,RB Leipzig,FW,23,Overall,86.672
Gerard Moreno,Villarreal,"FW,MF",27,Overall,86.654
Maxi Gómez,Valencia,FW,22,Overall,86.45
Streli Mamba,Paderborn 07,FW,25,Overall,86.36
Sergio Agüero,Manchester City,FW,31,Overall,86.205
